FOLD,q_not_pruned,q_standard,q_easy,q_hard,acc_not_pruned,acc_standard,acc_easy,acc_hard,auc_not_pruned,auc_standard,auc_easy,auc_hard,g_mean_not_pruned,g_mean_standard,g_mean_easy,g_mean_hard,f1_not_pruned,f1_standard,f1_easy,f1_hard,size_not_pruned,size_standard,size_easy,size_hard
1,0.0780325624108917,0.769630132757525,0,0.857379242157342,0.8,0.82,0.82,0.82,0.377777777777778,0.366666666666667,0.544444444444445,0.455555555555556,0.581186525805423,0.58878405775519,0,0.421637021355784,0.285714285714286,0.307692307692308,0,0.181818181818182,100,5,1,12
2,0.532700219721948,0,0.99932390754503,0.980514512239069,0.78,0.82,0.74,0.74,0.566666666666667,0.544444444444445,0.588888888888889,0.588888888888889,0,0,0,0,0,0,0,0,100,1,2,4
3,0.0600449587645895,0,0,0.998413272487277,0.82,0.84,0.76,0.12,0.366666666666667,0.444444444444444,0.4,0.488888888888889,0.58878405775519,0.42687494916219,0.565685424949238,0.149071198499986,0.307692307692308,0.2,0.25,0.185185185185185,100,1,1,37
4,0.130408296755627,0,0.913180355888144,0.733008910151052,0.92,0.9,0.9,0.9,0.0444444444444445,0.5,0.0555555555555556,0.5,0.954521404218424,0,0.942809041582063,0,0.714285714285714,0,0.666666666666667,0,100,1,13,16
5,-0.00407959240018518,0,0.666166561977444,0.998558471740983,0.62,0.82,0.76,0.12,0.388888888888889,0.455555555555556,0.577777777777778,0.488888888888889,0.611010092660779,0.421637021355784,0,0.149071198499986,0.24,0.181818181818182,0,0.185185185185185,100,1,8,45
6,0.38275712955455,0,0.923294648595303,0.972847716633038,0.836734693877551,0.836734693877551,0.836734693877551,0.836734693877551,0.430555555555556,0.430555555555556,0.430555555555556,0.430555555555556,0.471404520791032,0.471404520791032,0.471404520791032,0.471404520791032,0.2,0.2,0.2,0.2,100,1,11,5
7,0.0116632405341994,0.871051106220877,0.824322473381542,-0.877168173057887,0.9,0.88,0.9,0.1,0.144444444444444,0.422222222222222,0.322222222222222,0.5,0.85374989832438,0.4371625682868,0.618241233033047,0,0.615384615384615,0.25,0.444444444444444,0.181818181818182,100,9,9,2
8,0.101480441205749,0,0.169401700867142,0.95261032120249,0.877551020408163,0.897959183673469,0.877551020408163,0.897959183673469,0.422727272727273,0.5,0.422727272727273,0.411363636363636,0.436931448752651,0,0.436931448752651,0.442102415119557,0.25,0,0.25,0.285714285714286,100,1,5,10
9,0.337209630778709,0.978654719294748,-0.317609321267108,0.303274844914239,0.9,0.88,0.84,0.1,0.411111111111111,0.511111111111111,0.444444444444444,0.5,0.442216638714053,0,0.42687494916219,0,0.285714285714286,0,0.2,0.181818181818182,100,5,3,18
10,0.209008052299338,0,0.721873867274628,0.744574724941085,0.9,0.82,0.1,0.78,0.322222222222222,0.544444444444445,0.5,0.3,0.618241233033047,0,0,0.692820323027551,0.444444444444444,0,0.181818181818182,0.352941176470588,100,1,25,2
